Printing MFT chip positions from geometry file: 
 ChipID 0 : h0-d0 layer0 z0-tr5  Position: x=-8.78, y=-1.69, z=-45.31 
 ChipID 275 : h0-d3 layer6 z2-tr3  Position: x=3.14, y=-12.95, z=-67.75 
 ChipID 276 : h0-d3 layer6 z2-tr17  Position: x=4.84, y=-1.63, z=-67.74 
 ChipID 277 : h0-d3 layer6 z2-tr16  Position: x=4.84, y=-4.65, z=-67.74 
 ChipID 278 : h0-d3 layer6 z2-tr15  Position: x=4.83, y=-7.66, z=-67.72 
 ChipID 279 : h0-d3 layer6 z2-tr14  Position: x=4.83, y=-10.67, z=-67.70 
 ChipID 280 : h0-d3 layer6 z2-tr22  Position: x=6.54, y=-1.64, z=-67.75 
 ChipID 281 : h0-d3 layer6 z2-tr21  Position: x=6.53, y=-4.65, z=-67.73 
 ChipID 282 : h0-d3 layer6 z2-tr20  Position: x=6.54, y=-7.67, z=-67.74 
 ChipID 283 : h0-d3 layer6 z2-tr19  Position: x=6.54, y=-10.68, z=-67.70 
 ChipID 284 : h0-d3 layer6 z3-tr5  Position: x=8.24, y=-1.64, z=-67.76 
 ChipID 285 : h0-d3 layer6 z3-tr6  Position: x=8.24, y=-4.65, z=-67.73 
 ChipID 286 : h0-d3 layer6 z3-tr7  Position: x=8.24, y=-7.67, z=-67.72 
 ChipID 287 : h0-d3 layer6 z3-tr24  Position: x=8.24, y=-10.68, z=-67.74 
 ChipID 288 : h0-d3 layer7 z3-tr5  Position: x=-8.23, y=-1.65, z=-69.12 
 ChipID 289 : h0-d3 layer7 z3-tr6  Position: x=-8.23, y=-4.66, z=-69.13 
 ChipID 290 : h0-d3 layer7 z3-tr7  Position: x=-8.22, y=-7.68, z=-69.13 
 ChipID 291 : h0-d3 layer7 z3-tr24  Position: x=-8.22, y=-10.70, z=-69.19 
 ChipID 292 : h0-d3 layer7 z2-tr22  Position: x=-6.53, y=-1.65, z=-69.13 
 ChipID 293 : h0-d3 layer7 z2-tr21  Position: x=-6.53, y=-4.66, z=-69.14 
 ChipID 294 : h0-d3 layer7 z2-tr20  Position: x=-6.53, y=-7.68, z=-69.16 
 ChipID 295 : h0-d3 layer7 z2-tr19  Position: x=-6.53, y=-10.70, z=-69.23 
 ChipID 296 : h0-d3 layer7 z2-tr17  Position: x=-4.82, y=-1.65, z=-69.14 
 ChipID 297 : h0-d3 layer7 z2-tr16  Position: x=-4.82, y=-4.67, z=-69.13 
 ChipID 298 : h0-d3 layer7 z2-tr15  Position: x=-4.82, y=-7.69, z=-69.17 
 ChipID 299 : h0-d3 layer7 z2-tr14  Position: x=-4.82, y=-10.70, z=-69.14 
 ChipID 300 : h0-d3 layer7 z2-tr0  Position: x=-3.11, y=-3.92, z=-69.14 
 ChipID 301 : h0-d3 layer7 z2-tr1  Position: x=-3.11, y=-6.94, z=-69.15 
 ChipID 302 : h0-d3 layer7 z2-tr2  Position: x=-3.11, y=-9.96, z=-69.18 
 ChipID 303 : h0-d3 layer7 z2-tr3  Position: x=-3.11, y=-12.97, z=-69.15 
 ChipID 304 : h0-d3 layer7 z2-tr5  Position: x=-1.43, y=-4.79, z=-69.12 
 ChipID 305 : h0-d3 layer7 z2-tr6  Position: x=-1.43, y=-7.81, z=-69.16 
 ChipID 306 : h0-d3 layer7 z2-tr7  Position: x=-1.42, y=-10.82, z=-69.19 
 ChipID 307 : h0-d3 layer7 z2-tr24  Position: x=-1.42, y=-13.83, z=-69.13 
 ChipID 308 : h0-d3 layer7 z1-tr22  Position: x=0.28, y=-4.85, z=-69.14 
 ChipID 309 : h0-d3 layer7 z1-tr21  Position: x=0.28, y=-7.87, z=-69.15 
 ChipID 310 : h0-d3 layer7 z1-tr20  Position: x=0.28, y=-10.89, z=-69.18 
 ChipID 311 : h0-d3 layer7 z1-tr19  Position: x=0.28, y=-13.89, z=-69.14 
 ChipID 312 : h0-d3 layer7 z1-tr17  Position: x=1.98, y=-4.69, z=-69.15 
 ChipID 313 : h0-d3 layer7 z1-tr16  Position: x=1.98, y=-7.71, z=-69.24 
 ChipID 314 : h0-d3 layer7 z1-tr15  Position: x=1.98, y=-10.72, z=-69.22 
 ChipID 315 : h0-d3 layer7 z1-tr14  Position: x=1.98, y=-13.73, z=-69.15 
 ChipID 316 : h0-d3 layer7 z1-tr0  Position: x=3.68, y=-3.44, z=-69.15 
 ChipID 317 : h0-d3 layer7 z1-tr1  Position: x=3.68, y=-6.46, z=-69.16 
 ChipID 318 : h0-d3 layer7 z1-tr2  Position: x=3.68, y=-9.47, z=-69.16 
 ChipID 319 : h0-d3 layer7 z1-tr3  Position: x=3.68, y=-12.49, z=-69.17 
 ChipID 320 : h0-d3 layer7 z1-tr5  Position: x=5.39, y=-1.65, z=-69.17 
 ChipID 321 : h0-d3 layer7 z1-tr6  Position: x=5.38, y=-4.66, z=-69.14 
 ChipID 322 : h0-d3 layer7 z1-tr7  Position: x=5.39, y=-7.68, z=-69.17 
 ChipID 323 : h0-d3 layer7 z1-tr24  Position: x=5.39, y=-10.70, z=-69.18 
 ChipID 324 : h0-d3 layer7 z0-tr22  Position: x=7.09, y=-1.65, z=-69.18 
 ChipID 325 : h0-d3 layer7 z0-tr21  Position: x=7.09, y=-4.67, z=-69.16 
 ChipID 326 : h0-d3 layer7 z0-tr20  Position: x=7.09, y=-7.68, z=-69.16 
 ChipID 327 : h0-d3 layer7 z0-tr19  Position: x=7.09, y=-10.70, z=-69.18 
 ChipID 328 : h0-d3 layer7 z0-tr17  Position: x=8.78, y=-1.65, z=-69.18 
 ChipID 329 : h0-d3 layer7 z0-tr16  Position: x=8.78, y=-4.67, z=-69.16 
 ChipID 330 : h0-d3 layer7 z0-tr15  Position: x=8.78, y=-7.68, z=-69.16 
 ChipID 331 : h0-d3 layer7 z0-tr14  Position: x=8.79, y=-10.70, z=-69.17 
 ChipID 332 : h0-d4 layer8 z0-tr5  Position: x=-13.86, y=-1.65, z=-76.06 
 ChipID 333 : h0-d4 layer8 z0-tr6  Position: x=-13.86, y=-4.67, z=-76.06 
 ChipID 334 : h0-d4 layer8 z0-tr7  Position: x=-13.87, y=-7.68, z=-76.07 
 ChipID 335 : h0-d4 layer8 z0-tr0  Position: x=-12.16, y=-1.65, z=-76.07 
 ChipID 336 : h0-d4 layer8 z0-tr1  Position: x=-12.16, y=-4.67, z=-76.08 
 ChipID 337 : h0-d4 layer8 z0-tr2  Position: x=-12.17, y=-7.68, z=-76.08 
 ChipID 338 : h0-d4 layer8 z3-tr17  Position: x=11.69, y=-1.65, z=-76.15 
 ChipID 339 : h0-d4 layer8 z3-tr16  Position: x=11.67, y=-4.67, z=-76.11 
 ChipID 340 : h0-d4 layer8 z3-tr15  Position: x=11.65, y=-7.68, z=-76.07 
 ChipID 341 : h0-d4 layer8 z3-tr22  Position: x=13.38, y=-1.66, z=-76.13 
 ChipID 342 : h0-d4 layer8 z3-tr21  Position: x=13.36, y=-4.67, z=-76.08 
 ChipID 343 : h0-d4 layer8 z3-tr20  Position: x=13.35, y=-7.68, z=-76.08 
 ChipID 344 : h0-d4 layer9 z3-tr22  Position: x=-13.33, y=-1.67, z=-77.50 
 ChipID 345 : h0-d4 layer9 z3-tr21  Position: x=-13.33, y=-4.68, z=-77.51 
 ChipID 346 : h0-d4 layer9 z3-tr20  Position: x=-13.32, y=-7.70, z=-77.51 
 ChipID 347 : h0-d4 layer9 z3-tr17  Position: x=-11.63, y=-1.67, z=-77.50 
 ChipID 348 : h0-d4 layer9 z3-tr16  Position: x=-11.63, y=-4.68, z=-77.51 
 ChipID 349 : h0-d4 layer9 z3-tr15  Position: x=-11.62, y=-7.70, z=-77.50 
 ChipID 350 : h0-d4 layer9 z0-tr0  Position: x=12.19, y=-1.67, z=-77.56 
 ChipID 351 : h0-d4 layer9 z0-tr1  Position: x=12.19, y=-4.68, z=-77.53 
 ChipID 352 : h0-d4 layer9 z0-tr2  Position: x=12.19, y=-7.70, z=-77.54 
 ChipID 353 : h0-d4 layer9 z0-tr5  Position: x=13.89, y=-1.67, z=-77.57 
 ChipID 354 : h0-d4 layer9 z0-tr6  Position: x=13.89, y=-4.68, z=-77.53 
 ChipID 355 : h0-d4 layer9 z0-tr7  Position: x=13.89, y=-7.70, z=-77.52 
 ChipID 356 : h0-d4 layer8 z0-tr17  Position: x=-10.45, y=-1.65, z=-76.07 
 ChipID 357 : h0-d4 layer8 z0-tr16  Position: x=-10.45, y=-4.67, z=-76.01 
 ChipID 358 : h0-d4 layer8 z0-tr15  Position: x=-10.46, y=-7.68, z=-76.07 
 ChipID 359 : h0-d4 layer8 z0-tr14  Position: x=-10.46, y=-10.69, z=-76.04 
 ChipID 360 : h0-d4 layer8 z0-tr22  Position: x=-8.76, y=-1.65, z=-76.07 
 ChipID 361 : h0-d4 layer8 z0-tr21  Position: x=-8.76, y=-4.66, z=-76.07 
 ChipID 362 : h0-d4 layer8 z0-tr20  Position: x=-8.76, y=-7.67, z=-76.02 
 ChipID 363 : h0-d4 layer8 z0-tr19  Position: x=-8.77, y=-10.69, z=-76.04 
 ChipID 364 : h0-d4 layer8 z1-tr0  Position: x=-3.66, y=-4.08, z=-76.07 
 ChipID 365 : h0-d4 layer8 z1-tr1  Position: x=-3.66, y=-7.10, z=-76.07 
 ChipID 366 : h0-d4 layer8 z1-tr2  Position: x=-3.66, y=-10.11, z=-76.03 
 ChipID 367 : h0-d4 layer8 z1-tr3  Position: x=-3.67, y=-13.13, z=-76.07 
 ChipID 368 : h0-d4 layer8 z1-tr17  Position: x=-1.96, y=-5.10, z=-76.06 
 ChipID 369 : h0-d4 layer8 z1-tr16  Position: x=-1.96, y=-8.12, z=-76.04 
 ChipID 370 : h0-d4 layer8 z1-tr15  Position: x=-1.96, y=-11.13, z=-76.03 
 ChipID 371 : h0-d4 layer8 z1-tr14  Position: x=-1.97, y=-14.15, z=-76.07 
 ChipID 372 : h0-d4 layer8 z1-tr22  Position: x=-0.27, y=-5.26, z=-76.08 
 ChipID 373 : h0-d4 layer8 z1-tr21  Position: x=-0.27, y=-8.27, z=-76.06 
 ChipID 374 : h0-d4 layer8 z1-tr20  Position: x=-0.27, y=-11.28, z=-76.04 
 ChipID 375 : h0-d4 layer8 z1-tr19  Position: x=-0.27, y=-14.30, z=-76.07 
 ChipID 376 : h0-d4 layer8 z2-tr5  Position: x=1.44, y=-5.20, z=-76.08 
 ChipID 377 : h0-d4 layer8 z2-tr6  Position: x=1.44, y=-8.21, z=-76.03 
 ChipID 378 : h0-d4 layer8 z2-tr7  Position: x=1.44, y=-11.23, z=-76.05 
 ChipID 379 : h0-d4 layer8 z2-tr24  Position: x=1.44, y=-14.25, z=-76.09 
 ChipID 380 : h0-d4 layer8 z2-tr0  Position: x=3.14, y=-4.45, z=-76.07 
 ChipID 381 : h0-d4 layer8 z2-tr1  Position: x=3.14, y=-7.47, z=-76.06 
 ChipID 382 : h0-d4 layer8 z2-tr2  Position: x=3.14, y=-10.48, z=-76.05 
 ChipID 383 : h0-d4 layer8 z2-tr3  Position: x=3.13, y=-13.49, z=-76.04 
 ChipID 384 : h0-d4 layer8 z3-tr5  Position: x=8.26, y=-1.65, z=-76.12 
 ChipID 385 : h0-d4 layer8 z3-tr6  Position: x=8.25, y=-4.67, z=-76.08 
 ChipID 386 : h0-d4 layer8 z3-tr7  Position: x=8.25, y=-7.68, z=-76.06 
 ChipID 387 : h0-d4 layer8 z3-tr24  Position: x=8.25, y=-10.70, z=-76.08 
 ChipID 388 : h0-d4 layer8 z3-tr0  Position: x=9.96, y=-1.65, z=-76.13 
 ChipID 389 : h0-d4 layer8 z3-tr1  Position: x=9.95, y=-4.67, z=-76.09 
 ChipID 390 : h0-d4 layer8 z3-tr2  Position: x=9.95, y=-7.68, z=-76.06 
 ChipID 391 : h0-d4 layer8 z3-tr3  Position: x=9.94, y=-10.70, z=-76.06 
 ChipID 392 : h0-d4 layer9 z3-tr0  Position: x=-9.92, y=-1.67, z=-77.51 
 ChipID 393 : h0-d4 layer9 z3-tr1  Position: x=-9.91, y=-4.68, z=-77.50 
 ChipID 394 : h0-d4 layer9 z3-tr2  Position: x=-9.91, y=-7.70, z=-77.48 
 ChipID 395 : h0-d4 layer9 z3-tr3  Position: x=-9.91, y=-10.71, z=-77.48 
 ChipID 396 : h0-d4 layer9 z3-tr5  Position: x=-8.22, y=-1.67, z=-77.50 
 ChipID 397 : h0-d4 layer9 z3-tr6  Position: x=-8.22, y=-4.69, z=-77.51 
 ChipID 398 : h0-d4 layer9 z3-tr7  Position: x=-8.22, y=-7.70, z=-77.52 
 ChipID 399 : h0-d4 layer9 z3-tr24  Position: x=-8.21, y=-10.71, z=-77.47 
 ChipID 400 : h0-d4 layer9 z2-tr0  Position: x=-3.12, y=-4.47, z=-77.51 
 ChipID 401 : h0-d4 layer9 z2-tr1  Position: x=-3.12, y=-7.49, z=-77.53 
 ChipID 402 : h0-d4 layer9 z2-tr2  Position: x=-3.12, y=-10.50, z=-77.53 
 ChipID 403 : h0-d4 layer9 z2-tr3  Position: x=-3.11, y=-13.51, z=-77.46 
 ChipID 404 : h0-d4 layer9 z2-tr5  Position: x=-1.41, y=-5.21, z=-77.49 
 ChipID 405 : h0-d4 layer9 z2-tr6  Position: x=-1.41, y=-8.23, z=-77.50 
 ChipID 406 : h0-d4 layer9 z2-tr7  Position: x=-1.41, y=-11.25, z=-77.52 
 ChipID 407 : h0-d4 layer9 z2-tr24  Position: x=-1.41, y=-14.25, z=-77.45 
 ChipID 408 : h0-d4 layer9 z1-tr22  Position: x=0.29, y=-5.28, z=-77.52 
 ChipID 409 : h0-d4 layer9 z1-tr21  Position: x=0.29, y=-8.29, z=-77.53 
 ChipID 410 : h0-d4 layer9 z1-tr20  Position: x=0.29, y=-11.30, z=-77.51 
 ChipID 411 : h0-d4 layer9 z1-tr19  Position: x=0.29, y=-14.30, z=-77.43 
 ChipID 412 : h0-d4 layer9 z1-tr17  Position: x=1.99, y=-5.13, z=-77.51 
 ChipID 413 : h0-d4 layer9 z1-tr16  Position: x=1.99, y=-8.14, z=-77.51 
 ChipID 414 : h0-d4 layer9 z1-tr15  Position: x=1.99, y=-11.16, z=-77.51 
 ChipID 415 : h0-d4 layer9 z1-tr14  Position: x=1.99, y=-14.17, z=-77.48 
 ChipID 416 : h0-d4 layer9 z1-tr0  Position: x=3.68, y=-4.09, z=-77.50 
 ChipID 417 : h0-d4 layer9 z1-tr1  Position: x=3.69, y=-7.11, z=-77.50 
 ChipID 418 : h0-d4 layer9 z1-tr2  Position: x=3.69, y=-10.12, z=-77.47 
 ChipID 419 : h0-d4 layer9 z1-tr3  Position: x=3.69, y=-13.14, z=-77.48 
 ChipID 420 : h0-d4 layer9 z0-tr22  Position: x=8.79, y=-1.67, z=-77.55 
 ChipID 421 : h0-d4 layer9 z0-tr21  Position: x=8.79, y=-4.68, z=-77.52 
 ChipID 422 : h0-d4 layer9 z0-tr20  Position: x=8.79, y=-7.70, z=-77.52 
 ChipID 423 : h0-d4 layer9 z0-tr19  Position: x=8.79, y=-10.71, z=-77.50 
 ChipID 424 : h0-d4 layer9 z0-tr17  Position: x=10.49, y=-1.67, z=-77.56 
 ChipID 425 : h0-d4 layer9 z0-tr16  Position: x=10.49, y=-4.68, z=-77.53 
 ChipID 426 : h0-d4 layer9 z0-tr15  Position: x=10.49, y=-7.70, z=-77.52 
 ChipID 427 : h0-d4 layer9 z0-tr14  Position: x=10.49, y=-10.71, z=-77.51 
 ChipID 428 : h0-d4 layer8 z0-tr12  Position: x=-7.06, y=-1.66, z=-76.08 
 ChipID 429 : h0-d4 layer8 z0-tr11  Position: x=-7.06, y=-4.67, z=-76.07 
 ChipID 430 : h0-d4 layer8 z0-tr10  Position: x=-7.06, y=-7.69, z=-76.07 
 ChipID 431 : h0-d4 layer8 z0-tr9  Position: x=-7.06, y=-10.70, z=-76.07 
 ChipID 432 : h0-d4 layer8 z0-tr8  Position: x=-7.07, y=-13.72, z=-76.07 
 ChipID 433 : h0-d4 layer8 z1-tr5  Position: x=-5.37, y=-1.66, z=-76.08 
 ChipID 434 : h0-d4 layer8 z1-tr6  Position: x=-5.37, y=-4.67, z=-76.07 
 ChipID 435 : h0-d4 layer8 z1-tr7  Position: x=-5.37, y=-7.69, z=-76.07 
 ChipID 436 : h0-d4 layer8 z1-tr24  Position: x=-5.37, y=-10.70, z=-76.07 
 ChipID 437 : h0-d4 layer8 z1-tr23  Position: x=-5.37, y=-13.71, z=-76.03 
 ChipID 438 : h0-d4 layer8 z2-tr17  Position: x=4.83, y=-1.65, z=-76.10 
 ChipID 439 : h0-d4 layer8 z2-tr16  Position: x=4.83, y=-4.67, z=-76.07 
 ChipID 440 : h0-d4 layer8 z2-tr15  Position: x=4.83, y=-7.68, z=-76.07 
 ChipID 441 : h0-d4 layer8 z2-tr14  Position: x=4.83, y=-10.69, z=-76.04 
 ChipID 442 : h0-d4 layer8 z2-tr13  Position: x=4.83, y=-13.71, z=-76.05 
 ChipID 443 : h0-d4 layer8 z2-tr22  Position: x=6.55, y=-1.66, z=-76.10 
 ChipID 444 : h0-d4 layer8 z2-tr21  Position: x=6.55, y=-4.67, z=-76.07 
 ChipID 445 : h0-d4 layer8 z2-tr20  Position: x=6.55, y=-7.69, z=-76.08 
 ChipID 446 : h0-d4 layer8 z2-tr19  Position: x=6.55, y=-10.70, z=-76.07 
 ChipID 447 : h0-d4 layer8 z2-tr18  Position: x=6.54, y=-13.72, z=-76.07 
 ChipID 448 : h0-d4 layer9 z2-tr22  Position: x=-6.51, y=-1.67, z=-77.50 
 ChipID 449 : h0-d4 layer9 z2-tr21  Position: x=-6.51, y=-4.69, z=-77.51 
 ChipID 450 : h0-d4 layer9 z2-tr20  Position: x=-6.51, y=-7.71, z=-77.49 
 ChipID 451 : h0-d4 layer9 z2-tr19  Position: x=-6.51, y=-10.72, z=-77.48 
 ChipID 452 : h0-d4 layer9 z2-tr18  Position: x=-6.52, y=-13.74, z=-77.49 
 ChipID 453 : h0-d4 layer9 z2-tr17  Position: x=-4.81, y=-1.67, z=-77.51 
 ChipID 454 : h0-d4 layer9 z2-tr16  Position: x=-4.81, y=-4.69, z=-77.51 
 ChipID 455 : h0-d4 layer9 z2-tr15  Position: x=-4.81, y=-7.71, z=-77.52 
 ChipID 456 : h0-d4 layer9 z2-tr14  Position: x=-4.81, y=-10.72, z=-77.50 
 ChipID 457 : h0-d4 layer9 z2-tr13  Position: x=-4.81, y=-13.73, z=-77.49 
 ChipID 458 : h0-d4 layer9 z1-tr5  Position: x=5.40, y=-1.68, z=-77.52 
 ChipID 459 : h0-d4 layer9 z1-tr6  Position: x=5.39, y=-4.69, z=-77.50 
 ChipID 460 : h0-d4 layer9 z1-tr7  Position: x=5.39, y=-7.71, z=-77.52 
 ChipID 461 : h0-d4 layer9 z1-tr24  Position: x=5.39, y=-10.72, z=-77.50 
 ChipID 462 : h0-d4 layer9 z1-tr23  Position: x=5.39, y=-13.73, z=-77.46 
 ChipID 463 : h0-d4 layer9 z0-tr12  Position: x=7.09, y=-1.67, z=-77.53 
 ChipID 464 : h0-d4 layer9 z0-tr11  Position: x=7.09, y=-4.69, z=-77.50 
 ChipID 465 : h0-d4 layer9 z0-tr10  Position: x=7.09, y=-7.70, z=-77.51 
 ChipID 466 : h0-d4 layer9 z0-tr9  Position: x=7.09, y=-10.72, z=-77.50 
 ChipID 467 : h0-d4 layer9 z0-tr8  Position: x=7.09, y=-13.73, z=-77.49 
 ChipID 468 : h1-d0 layer0 z0-tr5  Position: x=8.76, y=1.71, z=-45.32 
 ChipID 469 : h1-d0 layer0 z0-tr6  Position: x=8.77, y=4.72, z=-45.32 
 ChipID 470 : h1-d0 layer0 z3-tr0  Position: x=-8.20, y=1.70, z=-45.29 
 ChipID 471 : h1-d0 layer0 z3-tr1  Position: x=-8.24, y=4.71, z=-45.35 
 ChipID 472 : h1-d0 layer0 z3-tr17  Position: x=-9.93, y=1.70, z=-45.38 
 ChipID 473 : h1-d0 layer0 z3-tr16  Position: x=-9.93, y=4.72, z=-45.37 
 ChipID 474 : h1-d0 layer1 z3-tr17  Position: x=9.93, y=1.70, z=-46.74 
 ChipID 475 : h1-d0 layer1 z3-tr16  Position: x=9.92, y=4.71, z=-46.73 
 ChipID 476 : h1-d0 layer1 z3-tr0  Position: x=8.22, y=1.70, z=-46.71 
 ChipID 477 : h1-d0 layer1 z3-tr1  Position: x=8.23, y=4.71, z=-46.75 
 ChipID 478 : h1-d0 layer1 z0-tr5  Position: x=-8.78, y=1.70, z=-46.79 
 ChipID 479 : h1-d0 layer1 z0-tr6  Position: x=-8.78, y=4.71, z=-46.79 
 ChipID 480 : h1-d0 layer0 z0-tr0  Position: x=7.07, y=1.70, z=-45.32 
 ChipID 481 : h1-d0 layer0 z0-tr1  Position: x=7.07, y=4.72, z=-45.32 
 ChipID 482 : h1-d0 layer0 z0-tr2  Position: x=7.07, y=7.73, z=-45.32 
 ChipID 483 : h1-d0 layer0 z0-tr17  Position: x=5.37, y=1.70, z=-45.32 
 ChipID 484 : h1-d0 layer0 z0-tr16  Position: x=5.37, y=4.72, z=-45.32 
 ChipID 485 : h1-d0 layer0 z0-tr15  Position: x=5.37, y=7.73, z=-45.32 
 ChipID 486 : h1-d0 layer0 z1-tr5  Position: x=3.67, y=1.70, z=-45.34 
 ChipID 487 : h1-d0 layer0 z1-tr6  Position: x=3.67, y=4.71, z=-45.33 
 ChipID 488 : h1-d0 layer0 z1-tr7  Position: x=3.67, y=7.73, z=-45.33 
 ChipID 489 : h1-d0 layer0 z1-tr0  Position: x=1.95, y=3.54, z=-45.33 
 ChipID 490 : h1-d0 layer0 z1-tr1  Position: x=1.95, y=6.56, z=-45.34 
 ChipID 491 : h1-d0 layer0 z1-tr2  Position: x=1.96, y=9.57, z=-45.35 
 ChipID 492 : h1-d0 layer0 z1-tr17  Position: x=0.26, y=3.80, z=-45.34 
 ChipID 493 : h1-d0 layer0 z1-tr16  Position: x=0.26, y=6.81, z=-45.34 
 ChipID 494 : h1-d0 layer0 z1-tr15  Position: x=0.26, y=9.83, z=-45.36 
 ChipID 495 : h1-d0 layer0 z2-tr5  Position: x=-1.44, y=3.70, z=-45.33 
 ChipID 496 : h1-d0 layer0 z2-tr6  Position: x=-1.44, y=6.72, z=-45.34 
 ChipID 497 : h1-d0 layer0 z2-tr7  Position: x=-1.44, y=9.73, z=-45.35 
 ChipID 498 : h1-d0 layer0 z2-tr0  Position: x=-3.13, y=1.70, z=-45.33 
 ChipID 499 : h1-d0 layer0 z2-tr1  Position: x=-3.14, y=4.71, z=-45.34 
 ChipID 500 : h1-d0 layer0 z2-tr2  Position: x=-3.14, y=7.73, z=-45.35 
 ChipID 501 : h1-d0 layer0 z2-tr17  Position: x=-4.83, y=1.69, z=-45.33 
 ChipID 502 : h1-d0 layer0 z2-tr16  Position: x=-4.84, y=4.71, z=-45.35 
 ChipID 503 : h1-d0 layer0 z2-tr15  Position: x=-4.84, y=7.72, z=-45.36 
 ChipID 504 : h1-d0 layer0 z3-tr5  Position: x=-6.53, y=1.70, z=-45.35 
 ChipID 505 : h1-d0 layer0 z3-tr6  Position: x=-6.53, y=4.71, z=-45.35 
 ChipID 506 : h1-d0 layer0 z3-tr7  Position: x=-6.54, y=7.73, z=-45.37 
 ChipID 507 : h1-d0 layer1 z3-tr5  Position: x=6.52, y=1.70, z=-46.74 
 ChipID 508 : h1-d0 layer1 z3-tr6  Position: x=6.52, y=4.72, z=-46.75 
 ChipID 509 : h1-d0 layer1 z3-tr7  Position: x=6.52, y=7.73, z=-46.74 
 ChipID 510 : h1-d0 layer1 z2-tr17  Position: x=4.83, y=1.70, z=-46.76 
 ChipID 511 : h1-d0 layer1 z2-tr16  Position: x=4.80, y=4.71, z=-46.71 
 ChipID 512 : h1-d0 layer1 z2-tr15  Position: x=4.82, y=7.72, z=-46.73 
 ChipID 513 : h1-d0 layer1 z2-tr0  Position: x=3.12, y=1.70, z=-46.77 
 ChipID 514 : h1-d0 layer1 z2-tr1  Position: x=3.12, y=4.71, z=-46.75 
 ChipID 515 : h1-d0 layer1 z2-tr2  Position: x=3.12, y=7.72, z=-46.76 
 ChipID 516 : h1-d0 layer1 z2-tr5  Position: x=1.42, y=3.71, z=-46.76 
 ChipID 517 : h1-d0 layer1 z2-tr6  Position: x=1.42, y=6.72, z=-46.78 
 ChipID 518 : h1-d0 layer1 z2-tr7  Position: x=1.42, y=9.74, z=-46.78 
 ChipID 519 : h1-d0 layer1 z1-tr17  Position: x=-0.27, y=3.79, z=-46.76 
 ChipID 520 : h1-d0 layer1 z1-tr16  Position: x=-0.27, y=6.81, z=-46.78 
 ChipID 521 : h1-d0 layer1 z1-tr15  Position: x=-0.27, y=9.82, z=-46.78 
 ChipID 522 : h1-d0 layer1 z1-tr0  Position: x=-1.98, y=3.55, z=-46.76 
 ChipID 523 : h1-d0 layer1 z1-tr1  Position: x=-1.98, y=6.56, z=-46.78 
 ChipID 524 : h1-d0 layer1 z1-tr2  Position: x=-1.98, y=9.58, z=-46.78 
 ChipID 525 : h1-d0 layer1 z1-tr5  Position: x=-3.68, y=1.70, z=-46.74 
 ChipID 526 : h1-d0 layer1 z1-tr6  Position: x=-3.68, y=4.71, z=-46.77 
 ChipID 527 : h1-d0 layer1 z1-tr7  Position: x=-3.68, y=7.73, z=-46.79 
 ChipID 528 : h1-d0 layer1 z0-tr17  Position: x=-5.38, y=1.70, z=-46.76 
 ChipID 529 : h1-d0 layer1 z0-tr16  Position: x=-5.38, y=4.71, z=-46.79 
 ChipID 530 : h1-d0 layer1 z0-tr15  Position: x=-5.38, y=7.73, z=-46.78 
 ChipID 531 : h1-d0 layer1 z0-tr0  Position: x=-7.08, y=1.70, z=-46.77 
 ChipID 532 : h1-d0 layer1 z0-tr1  Position: x=-7.08, y=4.71, z=-46.78 
 ChipID 533 : h1-d0 layer1 z0-tr2  Position: x=-7.08, y=7.73, z=-46.80 
 ChipID 534 : h1-d1 layer2 z0-tr5  Position: x=8.78, y=1.68, z=-48.62 
 ChipID 535 : h1-d1 layer2 z0-tr6  Position: x=8.78, y=4.69, z=-48.61 
 ChipID 536 : h1-d1 layer2 z3-tr0  Position: x=-8.22, y=1.68, z=-48.59 
 ChipID 537 : h1-d1 layer2 z3-tr1  Position: x=-8.23, y=4.70, z=-48.62 
 ChipID 538 : h1-d1 layer2 z3-tr17  Position: x=-9.93, y=1.69, z=-48.66 
 ChipID 539 : h1-d1 layer2 z3-tr16  Position: x=-9.93, y=4.70, z=-48.64 
 ChipID 540 : h1-d1 layer3 z3-tr17  Position: x=9.90, y=1.70, z=-50.01 
 ChipID 541 : h1-d1 layer3 z3-tr16  Position: x=9.90, y=4.71, z=-50.01 
 ChipID 542 : h1-d1 layer3 z3-tr0  Position: x=8.20, y=1.70, z=-50.01 
 ChipID 543 : h1-d1 layer3 z3-tr1  Position: x=8.24, y=4.70, z=-50.03 
 ChipID 544 : h1-d1 layer3 z0-tr5  Position: x=-8.77, y=1.69, z=-50.08 
 ChipID 545 : h1-d1 layer3 z0-tr6  Position: x=-8.77, y=4.70, z=-50.06 
 ChipID 546 : h1-d1 layer2 z0-tr0  Position: x=7.10, y=1.70, z=-48.59 
 ChipID 547 : h1-d1 layer2 z0-tr1  Position: x=7.10, y=4.71, z=-48.59 
 ChipID 548 : h1-d1 layer2 z0-tr2  Position: x=7.10, y=7.73, z=-48.59 
 ChipID 549 : h1-d1 layer2 z0-tr17  Position: x=5.40, y=1.70, z=-48.59 
 ChipID 550 : h1-d1 layer2 z0-tr16  Position: x=5.40, y=4.71, z=-48.59 
 ChipID 551 : h1-d1 layer2 z0-tr15  Position: x=5.40, y=7.73, z=-48.59 
